name,postal,beef_2000,beef_2001,beef_2002,beef_2003,beef_2004,beef_2005,beef_2006,beef_2007,beef_2008,beef_2009,beef_2010,beef_2011,beef_2012,beef_2013,pork_2000,pork_2001,pork_2002,pork_2003,pork_2004,pork_2005,pork_2006,pork_2007,pork_2008,pork_2009,pork_2010,pork_2011,pork_2012,pork_2013,poultry_2000,poultry_2001,poultry_2002,poultry_2003,poultry_2004,poultry_2005,poultry_2006,poultry_2007,poultry_2008,poultry_2009,poultry_2010,poultry_2011,poultry_2012,poultry_2013
Alabama,AL,0.070712593,0.049885509,0.051824965,0.051766052,0.011320221,0.017241379,0.024724062,0.02619339,0.019811833,0.021015067,0.027893498,0.024106517,0.029428212,0.027400768,0.008201203,0.006378803,0.006452914,0.004147004,0.005801613,0.010024058,0.010448859,0.010403917,0.009227429,0.01407613,0.010233653,0.007428171,0.008038585,0.008066581,0.375432841,0.398429833,0.376890502,0.294866295,0.335078534,0.393611334,0.381751288,0.415911873,0.379229238,0.42020222,0.389150516,0.337070778,0.366629386,0.365620999
Alaska,AK,0.004504505,0.004716981,0.010752688,0.009803922,0,0.00862069,0.00877193,0.008,0.006756757,0.007352941,0.013605442,0.012738854,0.018181818,0.016574586,0,0,0,0,0.009708738,0.00862069,0.00877193,0.008,0.006756757,0.007352941,0.006802721,0.006369427,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,0.112266112,0.123760241,0.104577743,0.11002886,0.019287603,0.032272457,0.04238921,0.042176249,0.03767154,0.049094708,0.046430856,0.046277666,0.055816419,0.054754849,0.008731809,0.003880983,0.00730071,0.008477633,0.009954892,0.010856633,0.009909166,0.008915305,0.011570544,0.012999071,0.012978704,0.011618096,0.012950621,0.010237069,0.002286902,0.003018542,0.00335438,0.004329004,0.003733084,0.002825699,0.003165428,0.004571951,0,0,0,0,0,0
Arkansas,AR,0.031035782,0.02636357,0.025294118,0.020281391,0.005078246,0.009293967,0.01058687,0.010321317,0.00964791,0.01038961,0.015635012,0.01479545,0.012950904,0.012126312,0.011224105,0.013363352,0.013970588,0.005840191,0.007461913,0.010115533,0.008314802,0.007420801,0.008353678,0.008544087,0.007657311,0.008176433,0.005951074,0.006459117,0.191186441,0.213741012,0.162279412,0.129705336,0.150637372,0.182387677,0.14990815,0.154932761,0.15327823,0.17012987,0.159554018,0.156548099,0.150654862,0.159844585
California,CA,0.015466797,0.015735064,0.014210056,0.016834203,0.003208198,0.005082181,0.00683977,0.008214648,0.010013113,0.009943752,0.011737656,0.014038254,0.015216159,0.014024929,0.000587165,0.00047053,0.000467708,0.000521695,0.000715497,0.000657448,0.000622696,0.000594884,0.000801373,0.000614549,0.000702941,0.000681349,0.000641404,0.000533892,0.014335429,0.01533373,0.011692689,0.012546125,0.012463504,0.01307592,0.012058553,0.01456591,0.016747883,0.016387986,0.014183307,0.01383569,0.013893264,0.012063903
Colorado,CO,0.2481071,0.230345412,0.249761779,0.289412027,0.070428016,0.103176471,0.134473105,0.124878559,0.12341175,0.142912441,0.14321703,0.134950955,0.16435491,0.185571031,0.036321738,0.03485908,0.032821599,0.030904831,0.041763943,0.038470588,0.036592681,0.032060384,0.032645616,0.030579856,0.032182895,0.034021683,0.03396081,0.031364903,0.012948535,0.012396694,0.011328745,0.011268548,0.021789883,0.015294118,0.020695861,0.019131605,0.011573783,0.008438492,0.006927825,0.007227672,0.008916777,0.008467967
Connecticut,CT,0.006723716,0.005018821,0.0058102,0.005280528,0.000615764,0.001740139,0.002247191,0.002831524,0.001819505,0.00271423,0.002463054,0.003604194,0.003996311,0.004119747,0.000611247,0.000627353,0.000645578,0.000660066,0.000615764,0.000580046,0,0.000471921,0.000363901,0.000387747,0.000351865,0.000327654,0.000307409,0.0005493,0.039119804,0.047051443,0.038734668,0.04290429,0.037561576,0.024941995,0.023595506,0.033506371,0.034934498,0.024428073,0.020056298,0.022608126,0.024285275,0.021148036
Delaware,DE,0.003681885,0.004620462,0.004914005,0.002347418,0.000718907,0.001369863,0.002103787,0.002136752,0.002074689,0.001702128,0.002071251,0.001412928,0.001874414,0.002307185,0.005154639,0.00330033,0.003276003,0.00312989,0.003594536,0.004109589,0.004207574,0.003739316,0.00373444,0.002553191,0.002899751,0.002119392,0.001562012,0.002307185,0.390279823,0.436963696,0.40950041,0.424100156,0.442846873,0.560958904,0.483169705,0.498397436,0.432780083,0.476170213,0.458989229,0.405157188,0.397688222,0.450560316
Florida,FL,0.015345509,0.014393939,0.013875811,0.014041746,0.003690567,0.005973716,0.007651377,0.008071964,0.007928994,0.008414034,0.0115026,0.010575443,0.013025386,0.013764736,0.000376577,0.000426136,0.000396452,0.00028463,0.000479294,0.000341355,0.000271876,0.000273626,0.000295858,0.000317511,0.000203329,0.000223425,0.000172359,0.000137877,0.016192807,0.019128788,0.01600674,0.014895636,0.015529141,0.01416624,0.012040238,0.015630879,0.016952663,0.012890935,0.012286868,0.014125416,0.01482284,0.013488981
Georgia,GA,0.030606969,0.029976388,0.026941748,0.026440038,0.005499466,0.008094544,0.010054198,0.010059985,0.009793686,0.011816588,0.011299691,0.010849024,0.012610246,0.012066873,0.012304829,0.011292475,0.011165049,0.009726157,0.01083477,0.011737089,0.010446941,0.007248188,0.009246831,0.008933115,0.006943184,0.006614405,0.007956465,0.005561548,0.258401406,0.311466995,0.275970874,0.233899906,0.235820405,0.289622794,0.254732543,0.28324169,0.279940343,0.310680161,0.239698675,0.220620144,0.272396322,0.255089659
