STATE,CNTY,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
21,1,Adair,5,4.8,5.4,5.9,5.3,5.6,5.7,5.8,6.8,10.8,10.4,9.6,7.6,8.1
21,3,Allen,4.4,6,6.3,6.8,6.5,6.5,6.5,5.8,7,14.4,12.4,10.4,8.6,8.2
21,5,Anderson,3.4,5,4.9,4.6,4.3,4.8,5.2,5,6.4,10.4,10.2,8.6,7.4,6.9
21,7,Ballard,5.9,6.6,7.1,7.8,6.9,6.8,6.1,5.5,6.2,10,9.7,9.3,8.3,8.6
21,9,Barren,4.6,5,4.7,5.2,4.5,5.4,5.6,5.2,6.1,12.3,11.6,10,8.1,7.9
21,11,Bath,6.1,7.4,7.4,7.8,6.8,8.2,7.7,7.5,8.9,15.4,13.9,12.1,10.1,9.8
21,13,Bell,6.5,8.3,8.6,8.6,7,7.4,7.8,8,8.9,12,13.1,12.9,12.9,14.5
21,15,Boone,2.9,3.9,4.1,4.8,4.4,4.8,4.7,4.4,5.4,9,9.3,7.9,7,6.6
21,17,Bourbon,3.3,4.6,5.4,5.7,4.8,5.4,5,4.9,5.8,9.6,9.6,8.9,7.8,7.4
21,19,Boyd,5.8,6.4,6.3,6.9,6.1,5.9,5.5,5.2,5.9,8.4,8.8,8.8,7.5,7.5
21,21,Boyle,4,5.4,6.3,8.5,6.5,6.6,6.7,6,6.7,11.3,11.8,11.3,9.5,9.4
21,23,Bracken,3.5,4.7,5.1,6.1,5.8,6.3,5.7,6,7.2,11.2,11.1,10.6,8.5,8.9
21,25,Breathitt,6.7,7.6,7.9,8.6,7.3,7.4,7.3,7,7.3,10.2,10.9,10.3,11.6,12
21,27,Breckinridge,4.8,6.3,6.7,6.9,6.4,7,6.6,6,7.5,11.8,11.2,9.9,8.2,7.7
21,29,Bullitt,3.2,4.2,5.2,5.6,5,5.7,5.9,5.6,7,10.8,10.8,10.4,8.4,7.6
21,31,Butler,4.1,5.5,8.1,9.6,7.1,7.1,7.9,6.3,7.9,14.3,11.8,10.4,8.4,8.6
21,33,Caldwell,4.4,5.1,5.1,5.9,5.1,5.9,5.2,5.3,6.5,10,9.1,8.1,6.9,6.8
21,35,Calloway,3.9,5.2,7.1,7.6,5.3,5.6,5.7,5.4,5.8,8.3,8.4,7.9,7.4,7.8
21,37,Campbell,3.3,4.4,4.3,5,4.7,5.4,5.1,5,6,10,10.4,9.1,7.5,7
21,39,Carlisle,6.1,6.4,6.7,7.9,7.4,7.3,6,6.1,6.5,8.8,8.6,8.3,7.5,6.9
21,41,Carroll,4.3,5.7,7.2,6.8,5.3,5.6,5.5,5.4,7.5,13,13.5,11.3,9.5,8.5
21,43,Carter,7.2,10.2,9.2,8.9,8.4,8.3,7.6,7.1,8.2,12.5,12.4,12.1,10.9,11.2
21,45,Casey,4.6,6.7,6.6,6.7,6.2,6.1,6.8,5.5,6.3,10.6,10.6,9.5,7.9,8.2
21,47,Christian,4.8,6.7,5.9,6.6,5.9,7,6.6,6.3,8.3,12.3,12,11.6,10.2,10.6
21,49,Clark,3.7,5.3,5.6,5.7,5.1,5.5,5.4,4.9,6.3,11,10.7,9.8,8,7.6
21,51,Clay,6.6,7.4,10.5,10,7.6,8.5,10,10.6,10.4,13.7,13.2,13.4,12.5,13.1
21,53,Clinton,5,6.1,8.6,9.2,6.8,6.4,5.9,5.2,6.5,9.4,9.8,10,9.5,9.3
21,55,Crittenden,6.4,7.5,5.7,6.9,5.9,6,6.1,6.1,6.5,10.6,10,8.4,7.7,7.5
21,57,Cumberland,5.7,5.7,5.6,7.3,7,7.9,7.3,6.9,7.8,12.8,12,11,10.8,10.8
21,59,Daviess,4.2,5,5.5,6,5.3,5.8,5.3,4.8,5.7,9.3,9,8,6.7,6.6
21,61,Edmonson,4.9,6,7.1,7,5.9,7.1,6.8,6.3,7.5,13.6,13.4,11.5,9.5,9.2
21,63,Elliott,8.9,8.7,8.5,8.2,10.2,9.6,8.4,7.5,8.3,13.4,12.1,12,10.9,11.3
21,65,Estill,4.8,6.2,6.4,7.4,7.4,7.1,6.5,6.4,7.8,12.5,11.9,10.9,8.7,8.5
21,67,Fayette,2.9,3.7,4.2,4.6,4.1,4.5,4.3,4,4.8,7.8,7.9,7.4,6.3,6.3
21,69,Fleming,4.7,5,5.5,5.9,6,6,6.5,6.4,7.2,12.3,11.8,10.7,9.1,9.6
21,71,Floyd,6.9,6.6,7.1,8.1,7,7,6.4,6.5,6.7,10.9,12.1,9.9,10.4,12.2
21,73,Franklin,3.4,3.7,4.3,4.6,4.1,4.6,4.6,4.5,5.8,8.9,8.6,7.9,6.7,6.6
21,75,Fulton,5.3,6.4,6.9,11.1,9,7.4,7.6,7.5,7.6,12.7,12.9,14.2,15.6,14.6
21,77,Gallatin,3.9,4.6,5.7,5.7,5.7,5.9,4.8,5.4,7.1,12.1,11.1,9.4,8.4,8
21,79,Garrard,3.5,4.7,5.5,5.7,5.6,6.2,5.9,5.6,6.5,11.8,11.3,10.2,8.6,8.5
21,81,Grant,3.8,5,5.4,5.9,5.3,5.5,5.4,5.5,7,11.5,11.5,9.9,8.3,7.2
21,83,Graves,5,6.5,7,7.4,7.3,10,7.1,6.3,6.9,9.9,9.7,9.3,8.5,8.9
21,85,Grayson,5.1,7.5,8.1,9.2,7.1,8.6,8.3,8.1,9.9,14.7,14.3,12.3,10.3,10.3
21,87,Green,4.6,5.4,5.3,6.3,5.4,6.2,5.6,6.1,7.7,11.8,11.5,9.3,8,8
21,89,Greenup,5.8,6.2,6.1,6.9,6.2,6.4,5.8,5.4,6.2,9.3,9.9,9.4,7.8,8.1
21,91,Hancock,4.9,5.9,6.1,7,5.8,6.2,5.9,5.1,5.8,11.7,9.6,8,6.8,7
21,93,Hardin,4.3,5.1,5.8,5.5,5.4,5.8,5.4,5.1,6.2,10.3,9.4,8.9,7.8,7.3
21,95,Harlan,8.2,7.7,8.8,9.7,7.5,7.8,8,9,8.9,10.9,11.3,10.5,13.3,17.1
21,97,Harrison,3.5,5.1,5.5,5.7,5.7,5.9,5.4,4.9,6.3,11.4,10.7,9.6,7.5,7.2
21,99,Hart,4.7,5.4,5.3,6.2,5.3,6.5,6.3,5.3,6.6,10.3,10.1,9.4,7.8,7.4
